Effect,Dependent,Method,Comparison,LowerCL,Difference,UpperCL,Significance
treat,mood,Bon,AY - BY,-0.081,6.000,12.081,0
treat,mood,Bon,AY - BN,6.919,13.000,19.081,1
treat,mood,Bon,AY - AN,8.919,15.000,21.081,1
treat,mood,Bon,AY - PY,8.919,15.000,21.081,1
treat,mood,Bon,AY - PN,16.919,23.000,29.081,1
treat,mood,Bon,BY - AY,-12.081,-6.000,0.081,0
treat,mood,Bon,BY - BN,0.919,7.000,13.081,1
treat,mood,Bon,BY - AN,2.919,9.000,15.081,1
treat,mood,Bon,BY - PY,2.919,9.000,15.081,1
treat,mood,Bon,BY - PN,10.919,17.000,23.081,1
treat,mood,Bon,BN - AY,-19.081,-13.000,-6.919,1
treat,mood,Bon,BN - BY,-13.081,-7.000,-0.919,1
treat,mood,Bon,BN - AN,-4.081,2.000,8.081,0
treat,mood,Bon,BN - PY,-4.081,2.000,8.081,0
treat,mood,Bon,BN - PN,3.919,10.000,16.081,1
treat,mood,Bon,AN - AY,-21.081,-15.000,-8.919,1
treat,mood,Bon,AN - BY,-15.081,-9.000,-2.919,1
treat,mood,Bon,AN - BN,-8.081,-2.000,4.081,0
treat,mood,Bon,AN - PY,-6.081,0.000,6.081,0
treat,mood,Bon,AN - PN,1.919,8.000,14.081,1
treat,mood,Bon,PY - AY,-21.081,-15.000,-8.919,1
treat,mood,Bon,PY - BY,-15.081,-9.000,-2.919,1
treat,mood,Bon,PY - BN,-8.081,-2.000,4.081,0
treat,mood,Bon,PY - AN,-6.081,0.000,6.081,0
treat,mood,Bon,PY - PN,1.919,8.000,14.081,1
treat,mood,Bon,PN - AY,-29.081,-23.000,-16.919,1
treat,mood,Bon,PN - BY,-23.081,-17.000,-10.919,1
treat,mood,Bon,PN - BN,-16.081,-10.000,-3.919,1
treat,mood,Bon,PN - AN,-14.081,-8.000,-1.919,1
treat,mood,Bon,PN - PY,-14.081,-8.000,-1.919,1
